Comment,Designator,Footprint,LCSC
"pmod","J1","pcm:PinHeader_2x06_P2.54mm_Horizontal",""
"AudioJack4","J2","Connector_Audio:Jack_3.5mm_PJ320D_Horizontal",""
"4k7","R1","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",""
"pcm5102m","U1","pcm:pcm5102m",""
